id,name,category,language,primary,secondary,confidence,status
causalml,CausalML,Causal Inference & Matching,Python,pkg-pywhy-ecosystem,,high,success
umap-learn,umap-learn,Dimensionality Reduction,Python,none,,medium,success
btydplus,BTYDplus,MarTech & Customer Analytics,R,pkg-marketing,,high,success
torchrl,TorchRL,Simulation & Computational Economics,Python,pkg-simulation,,high,success
clvtools,CLVTools,MarTech & Customer Analytics,R,pkg-marketing,,high,success
simpop,simPop,Synthetic Data Generation,R,pkg-synthetic-data,,high,success
expectation,expectation,Statistical Inference & Hypothesis Testing,Python,pkg-hypothesis-testing,,high,success
fixedeffectmodel,FixedEffectModel,Panel Data & Fixed Effects,Python,pkg-panel-data,,high,success
marginaleffects,marginaleffects,Marginal Effects,R,pkg-hypothesis-testing,,high,success
causalml,CausalML,Healthcare Economics & Health-Tech,Python,pkg-pywhy-ecosystem,pkg-causal-forests,high,success
semantic-scholar-api,Semantic Scholar API,Research Tools,Python,none,,medium,success
ax-meta-adaptive-experimentation,Ax (Meta Adaptive Experimentation),Adaptive Experimentation & Bandits,Python,pkg-adaptive-bandits,,high,success
texreg,texreg,Regression Output,R,pkg-hypothesis-testing,,high,success
torchcp,TorchCP,Conformal Prediction & Uncertainty,Python,pkg-conformal,,high,success
causalml,CausalML,Causal Inference,Python,pkg-pywhy-ecosystem,,high,success
gale-shapley,gale-shapley,Matching & Market Design,Python,pkg-matching,,high,success
econpizza,econpizza,Structural Econometrics & Estimation,Python,pkg-structural-estimation,,high,success
rdmulti,rdmulti,Causal Inference (RDD),R,pkg-iv-rdd,,high,success
syntheticcontrolmethods,SyntheticControlMethods,"Program Evaluation Methods (DiD, SC, RDD)",Python,pkg-did-synth,,high,success
pysyncon,pysyncon,"Program Evaluation Methods (DiD, SC, RDD)",Python,pkg-did-synth,,high,success
causalml,CausalML,MarTech & Customer Analytics,Python,pkg-pywhy-ecosystem,,high,success
bambi,Bambi,Bayesian Econometrics,Python,pkg-bayesian,,high,success
fhirclient,fhirclient,Healthcare Economics & Health-Tech,Python,pkg-healthcare,,high,success
declaredesign,DeclareDesign,Experimental Design,R,pkg-ab-testing,pkg-power-simulation,high,success
lifetimes,Lifetimes,Marketing Mix Models (MMM) & Business Analytics,Python,pkg-marketing,,high,success
causal-learn,causal-learn,Causal Discovery & Graphical Models,Python,pkg-causal-discovery,,high,success
mesa,Mesa,Simulation & Computational Economics,Python,pkg-simulation,,high,success
causallib,CausalLib,Causal Inference & Matching,Python,pkg-pywhy-ecosystem,,high,success
scikit-learn-ens.,Scikit-learn Ens.,Tree & Ensemble Methods for Prediction,Python,pkg-gradient-boosting,,high,success
elicit,Elicit,Research Tools,Web,none,,high,success
cregg,cregg,Conjoint Analysis,R,pkg-ab-testing,,high,success
skyfield,Skyfield,Space & Orbital Analysis,Python,pkg-geospatial,,high,success
blavaan,blavaan,Structural Equation Modeling,R,pkg-bayesian,,high,success
lifetimes,lifetimes,MarTech & Customer Analytics,Python,pkg-marketing,,high,success
bacondecomp,bacondecomp,Causal Inference (DiD),R,pkg-did-synth,,high,success
contextualbandits,ContextualBandits,Adaptive Experimentation & Bandits,Python,pkg-adaptive-bandits,,high,success
causal-bert-pytorch,causal-bert-pytorch,Causal Inference (ML),Python,pkg-pywhy-ecosystem,,high,success
monai,MONAI,Healthcare Economics & Health-Tech,Python,pkg-healthcare,,high,success
bife,bife,Panel Data & Fixed Effects,R,pkg-panel-data,,high,success
sgp4,sgp4,Space & Orbital Analysis,Python,pkg-geospatial,,high,success
h2o-sparkling-water,H2O Sparkling Water,Core Libraries & Linear Models,Spark,pkg-automl,,high,success
or-gym,OR-Gym,Simulation & Computational Economics,Python,pkg-simulation,,high,success
python-packages-for-applied-economists,Python Packages for Applied Economists,Inference & Reporting Tools,Python,pkg-hypothesis-testing,,high,success
gmm,gmm,Instrumental Variables,R,pkg-structural-estimation,pkg-iv-rdd,high,success
causalpy,CausalPy,MarTech & Customer Analytics,Python,pkg-did-synth,,high,success
bayesianbandits,BayesianBandits,Adaptive Experimentation & Bandits,Python,pkg-adaptive-bandits,,high,success
ruspy,ruspy,Structural Econometrics & Estimation,Python,pkg-structural-estimation,,high,success
sdv-synthetic-data-vault,SDV (Synthetic Data Vault),Synthetic Data Generation,Python,pkg-synthetic-data,,high,success
causalpy,CausalPy,Causal Inference (Synthetic Control),Python,pkg-did-synth,pkg-iv-rdd,high,success
synth,Synth,Causal Inference (Synthetic Control),R,pkg-did-synth,,high,success
mabwiser,MABWiser,Adaptive Experimentation & Bandits,Python,pkg-adaptive-bandits,,high,success
testinterference,testinterference,Interference & Spillovers,Python,pkg-hypothesis-testing,,high,success
gt,gt,Regression Output,R,pkg-visualization,,high,success
ts-flint,TS-Flint,Time Series Econometrics,Spark,pkg-time-series-ml,,high,success
did,did,Causal Inference (DiD),R,pkg-did-synth,,high,success
kats,Kats,Time Series Econometrics,Python,pkg-classical-forecasting,,high,success
open-bandit-pipeline-obp,Open Bandit Pipeline (OBP),Adaptive Experimentation & Bandits,Python,pkg-adaptive-bandits,,high,success
simio,Simio,Simulation & Computational Economics,C#,pkg-simulation,,high,success
puncc,puncc,Conformal Prediction & Uncertainty,Python,pkg-conformal,,high,success
computational-methods-for-practitioners,Computational Methods for practitioners,Inference & Reporting Tools,Python,none,,medium,success
lightweightmmm,LightweightMMM,Bayesian Econometrics,Python,pkg-marketing,,high,success
performance,performance,Model Diagnostics,R,pkg-hypothesis-testing,,high,success
honestdid,HonestDiD,Causal Inference (DiD),R,pkg-did-synth,,high,success
rdlocrand,rdlocrand,Causal Inference (RDD),R,pkg-iv-rdd,,high,success
spilled_t,spilled_t,Interference & Spillovers,Python,pkg-causal-mediation,,high,success
vars,vars,Time Series Econometrics,R,pkg-classical-forecasting,,high,success
alpaca,alpaca,Panel Data & Fixed Effects,R,pkg-panel-data,,high,success
abracadabra,abracadabra,Adaptive Experimentation & Bandits,Python,pkg-ab-testing,pkg-adaptive-bandits,high,success
opendss,OpenDSS,Energy & Utilities Economics,COM/Python,pkg-energy,,high,success
augurs,Augurs,Time Series Forecasting,Rust,pkg-classical-forecasting,pkg-prophet-style,high,success
shap,SHAP,Insurance & Actuarial,Python,pkg-gradient-boosting,,high,success
staggered,staggered,Causal Inference (DiD),R,pkg-did-synth,,high,success
lfe,lfe,Panel Data & Fixed Effects,R,pkg-panel-data,,high,success
ananke,Ananke,Causal Discovery & Graphical Models,Python,pkg-causal-discovery,,high,success
pykalman,PyKalman,State Space & Volatility Models,Python,pkg-time-series-ml,,high,success
fect,fect,Causal Inference (DiD),R,pkg-did-synth,,high,success
gcimpute,gcimpute,Statistical Inference & Hypothesis Testing,Python,pkg-hypothesis-testing,,high,success
opendss,OpenDSS,Energy Systems Modeling,Python,pkg-energy,,high,success
shiftsharese,ShiftShareSE,Instrumental Variables,R,pkg-iv-rdd,,high,success
vade,VaDE,Machine Learning,Python,pkg-neural-networks,,high,success
xlogit,XLogit,Discrete Choice Models,Python,pkg-structural-estimation,,high,success
pyxab,PyXAB,Adaptive Experimentation & Bandits,Python,pkg-adaptive-bandits,,high,success
kfas,KFAS,Time Series Econometrics,R,pkg-classical-forecasting,,high,success
fastdid,fastdid,Causal Inference (DiD),R,pkg-did-synth,,high,success
panelr,panelr,Panel Data & Fixed Effects,R,pkg-panel-data,,high,success
scikit-survival,scikit-survival,Insurance & Actuarial,Python,pkg-survival-analysis,pkg-insurance,high,success
sdcmicro,sdcMicro,Synthetic Data Generation,R,pkg-synthetic-data,,high,success
dlm,dlm,Time Series Econometrics,R,pkg-classical-forecasting,,high,success
hesim,hesim,Healthcare Economics & Health-Tech,R,pkg-healthcare,,high,success
didimputation,didimputation,Causal Inference (DiD),R,pkg-did-synth,,high,success
xlogit,xlogit,Transportation Economics & Technology,Python,pkg-transportation,,high,success
anthropic,anthropic,Agentic AI,Python,pkg-nlp-llm,,high,success
scikit-survival,scikit-survival,Healthcare Economics & Health-Tech,Python,pkg-survival-analysis,pkg-healthcare,high,success
quantecon.py,QuantEcon.py,Structural Econometrics & Estimation,Python,pkg-structural-estimation,,high,success
bsts,bsts,Bayesian Causal Inference,R,pkg-bayesian,,high,success
forecast,forecast,Time Series Forecasting,R,pkg-classical-forecasting,,high,success
python-louvain,python-louvain,Network Analysis,Python,pkg-network-analysis,,high,success
osmnx,OSMnx,Transportation Economics & Technology,Python,pkg-transportation,pkg-geospatial,high,success
clusterbootstraps,clusterbootstraps,Inference & Reporting Tools,Python,pkg-hypothesis-testing,,high,success
inferference,inferference,Causal Inference (Interference),R,pkg-causal-mediation,,high,success
queueing,queueing,Simulation & Computational Economics,R,pkg-simulation,,high,success
abce,ABCE,Simulation & Computational Economics,Python,pkg-simulation,,high,success
quanteda,quanteda,Text Analysis,R,pkg-nlp-llm,,high,success
smpybandits,SMPyBandits,Adaptive Experimentation & Bandits,Python,pkg-adaptive-bandits,,high,success
heemod,heemod,Healthcare Economics & Health-Tech,R,pkg-healthcare,,high,success
gtfs-kit,gtfs-kit,Transportation Economics & Technology,Python,pkg-transportation,,high,success
differences,Differences,"Program Evaluation Methods (DiD, SC, RDD)",Python,pkg-did-synth,,high,success
matchit,MatchIt,Causal Inference (Matching),R,pkg-matching,,high,success
lavaan,lavaan,Structural Equation Modeling,R,pkg-structural-estimation,,high,success
numpyro,NumPyro,Bayesian Econometrics,Python,pkg-bayesian,,high,success
metran,Metran,State Space & Volatility Models,Python,pkg-classical-forecasting,,high,success
apollo,Apollo,Transportation Economics & Technology,R,pkg-transportation,,high,success
optmatch,optmatch,Causal Inference (Matching),R,pkg-matching,,high,success
statsforecast,StatsForecast,Time Series Forecasting,Python,pkg-classical-forecasting,,high,success
chainladder-python,chainladder-python,Insurance & Actuarial,Python,pkg-insurance,,high,success
pymc,PyMC,Bayesian Econometrics,Python,pkg-bayesian,,high,success
pymc-statespace,PyMC Statespace,State Space & Volatility Models,Python,pkg-bayesian,,high,success
here,here,Reproducibility,R,none,,high,success
fixes,fixes,Causal Inference (Event Study),R,pkg-did-synth,,high,success
mlogit,mlogit,Transportation Economics & Technology,R,pkg-transportation,,high,success
survival,survival,Insurance & Actuarial,R,pkg-survival-analysis,pkg-insurance,high,success
causaltoolbox,causalToolbox,Causal Inference (ML),R,pkg-causal-forests,,high,success
ndarray,Ndarray,Numerical Optimization & Computational Tools,Rust,none,,medium,success
gmnl,gmnl,Transportation Economics & Technology,R,pkg-transportation,,high,success
savvi,savvi,Statistical Inference & Hypothesis Testing,Python,pkg-hypothesis-testing,pkg-ab-testing,high,success
finrl,FinRL,Simulation & Computational Economics,Python,pkg-finance,,high,success
pymc,PyMC,Bayesian Inference,Python,pkg-bayesian,,high,success
survival,survival,Healthcare Economics & Health-Tech,R,pkg-survival-analysis,,high,success
pynetlogo,pyNetLogo,Simulation & Computational Economics,Python,pkg-simulation,,high,success
pybaseball,pybaseball,Sports Analytics,Python,pkg-sports,,high,success
openai,openai,Agentic AI,Python,pkg-nlp-llm,,high,success
ambrosia,Ambrosia,Power Simulation & Design of Experiments,Spark,pkg-ab-testing,,high,success
hoopr,hoopR,Sports Analytics,R,pkg-sports,,high,success
rllib,RLlib,Simulation & Computational Economics,Python,pkg-simulation,,high,success
mixl,mixl,Transportation Economics & Technology,R,pkg-transportation,,high,success
latenetwork,latenetwork,Causal Inference (Interference),R,pkg-iv-rdd,,high,success
spdep,spdep,Spatial Econometrics,R,pkg-geospatial,,high,success
crewai,crewai,Agentic AI,Python,pkg-nlp-llm,,high,success
sf,sf,Spatial Econometrics,R,pkg-geospatial,,high,success
dyntxregime,DynTxRegime,Causal Inference (Dynamic Treatment),R,pkg-causal-forests,,high,success
tidytransit,tidytransit,Transportation Economics & Technology,R,pkg-transportation,pkg-geospatial,high,success
kep_solver,kep_solver,Matching & Market Design,Python,pkg-matching,,high,success
modelsummary,modelsummary,Regression Output,R,pkg-visualization,,high,success
rstanarm,rstanarm,Bayesian Inference,R,pkg-bayesian,,high,success
ddml,ddml,Causal Inference (ML),R,pkg-causal-mediation,,high,success
sf,sf,Geospatial,R,pkg-geospatial,,high,success
sumo,SUMO,Transportation Economics & Technology,C++/Python,pkg-transportation,,high,success
gymnasium,Gymnasium,Simulation & Computational Economics,Python,pkg-simulation,,high,success
ziln_cltv,ziln_cltv,Marketing Mix Models (MMM) & Business Analytics,Python,pkg-marketing,,high,success
broom,broom,Regression Output,R,pkg-hypothesis-testing,,high,success
openai-agents,openai-agents,Agentic AI,Python,pkg-nlp-llm,,high,success
opentripplanner,OpenTripPlanner,Transportation Economics & Technology,Java,pkg-transportation,,high,success
mo-gymnasium,MO-Gymnasium,Simulation & Computational Economics,Python,pkg-simulation,,high,success
hdm,hdm,Causal Inference (ML),R,pkg-iv-rdd,,high,success
spatialreg,spatialreg,Spatial Econometrics,R,pkg-geospatial,,high,success
tsdyn,tsDyn,Time Series Econometrics,R,pkg-classical-forecasting,,high,success
mbt_gym,mbt_gym,Simulation & Computational Economics,Python,pkg-finance,,high,success
gtsummary,gtsummary,Regression Output,R,pkg-hypothesis-testing,,high,success
pandapower,pandapower,Energy & Utilities Economics,Python,pkg-energy,,high,success
eventstudyr,eventstudyr,Causal Inference (Event Study),R,pkg-did-synth,,high,success
langchain,langchain,Agentic AI,Python,pkg-nlp-llm,,high,success
simmer,simmer,Simulation & Computational Economics,R,pkg-simulation,,high,success
dynlm,dynlm,Time Series Econometrics,R,pkg-classical-forecasting,,high,success
fairlearn,Fairlearn,Insurance & Actuarial,Python,pkg-insurance,,high,success
brms,brms,Bayesian Inference,R,pkg-bayesian,,high,success
econ-project-templates,Econ Project Templates,Inference & Reporting Tools,Python,none,,high,success
pandapower,pandapower,Energy Systems Modeling,Python,pkg-energy,,high,success
lifelib,lifelib,Insurance & Actuarial,Python,pkg-insurance,,high,success
splm,splm,Spatial Econometrics,R,pkg-panel-data,pkg-structural-estimation,high,success
dtrreg,DTRreg,Causal Inference (Dynamic Treatment),R,pkg-causal-forests,,high,success
spacy,spaCy,Natural Language Processing for Economics,Python,pkg-nlp-llm,,high,success
sktime,sktime,Time Series Forecasting,Python,pkg-time-series-ml,pkg-classical-forecasting,high,success
strucchange,strucchange,Time Series Econometrics,R,pkg-classical-forecasting,,high,success
nvdlib,nvdlib,Cybersecurity,Python,none,,high,success
sensemakr,sensemakr,Causal Inference (ML),R,pkg-causal-mediation,,high,success
flexsurv,flexsurv,Insurance & Actuarial,R,pkg-survival-analysis,pkg-insurance,high,success
mfilter,mFilter,Time Series Econometrics,R,pkg-classical-forecasting,,high,success
transformers,Transformers,Natural Language Processing for Economics,Python,pkg-nlp-llm,,high,success
clubsandwich,clubSandwich,Robust Standard Errors,R,pkg-hypothesis-testing,pkg-panel-data,high,success
agentpy,AgentPy,Simulation & Computational Economics,Python,pkg-simulation,,high,success
filterpy,FilterPy,State Space & Volatility Models,Python,pkg-classical-forecasting,,high,success
