id,name,category,primary,secondary,confidence,status
resource-openai-cookbook-semantic-search-with-embeddings,OpenAI Cookbook: Semantic Search with Embeddings,Search & Ranking,search-ranking,,high,success
resource-aeaafa-2019-impact-of-machine-learning-on-economic,AEA/AFA 2019: Impact of Machine Learning on Economics,Causal Inference,ml-for-economists,,high,success
resource-media-rating-council-mrc,Media Rating Council (MRC),Operations Research,ad-attribution,,high,success
resource-dario-sansone-ml-for-economists-resources,Dario Sansone: ML for Economists Resources,Causal Inference,ml-for-economists,,high,success
resource-postman-academy,Postman Academy,Programming,none,,low,success
resource-cvxpy-short-course,CVXPY Short Course,Convex Optimization,convex-optimization,,high,success
resource-andrew-heisss-rdd-course-examples,Andrew Heiss's RDD Course Examples,IV & RDD,rdd-iv,,high,success
resource-rochet-tirole-two-sided-markets-rand,Rochet & Tirole: Two-Sided Markets (RAND),Platform Economics,network-effects,marketplace-design,high,success
resource-playwright-for-python,Playwright for Python,Programming,python-economists,,high,success
resource-lost-stats-event-study-designs,LOST Stats: Event Study Designs,Causal Inference,did-synth-control,,high,success
resource-machine-learning-for-economists-hebrew-university,Machine Learning for Economists (Hebrew University),Machine Learning,ml-for-economists,,high,success
resource-frank-pinters-demand-estimation-notes,Frank Pinter's Demand Estimation Notes,Computational Economics,agent-based-modeling,,medium,success
resource-aea-machine-learning-and-econometrics-atheyimbens,AEA: Machine Learning and Econometrics (Athey/Imbens),Computational Economics,ml-for-economists,causal-forests,high,success
resource-tilburg-science-hub-rdd-tutorials,Tilburg Science Hub RDD Tutorials,IV & RDD,rdd-iv,,high,success
resource-uchicago-law-discrimination-by-algorithm-and-peopl,UChicago Law: Discrimination by Algorithm and People,Causal Inference,ml-for-economists,,high,success
resource-upwork-engineering-blog,Upwork Engineering Blog,Platform Economics,marketplace-design,,high,success
resource-mit-ocw-dynamic-programming-bertsekas,MIT OCW: Dynamic Programming (Bertsekas),Computational Economics,ml-for-economists,,high,success
resource-stable-baselines3-documentation,Stable-Baselines3 Documentation,Machine Learning,ml-for-economists,,high,success
resource-paul-rubin-or-in-an-ob-world,Paul Rubin: OR in an OB World,Operations Research,linear-programming,,high,success
resource-ronny-kohavi-seven-rules-of-thumb-for-web-site-exp,Ronny Kohavi: Seven Rules of Thumb for Web Site Experimenters,A/B Testing,ab-testing-foundations,,high,success
resource-open-source-economics-structural-estimation,Open Source Economics: Structural Estimation,Computational Economics,ml-for-economists,,high,success
resource-leetcode-explore-data-structures,LeetCode Explore: Data Structures,Programming,dsa-interviews,,high,success
resource-adam-fishman-newsletter,Adam Fishman Newsletter,Frameworks & Strategy,product-metrics,tech-strategy,high,success
resource-problem-solving-with-algorithms-data-structures-py,Problem Solving with Algorithms & Data Structures (Python),Programming,dsa-interviews,,high,success
resource-google-analytics-for-marketing,Google Analytics for Marketing,Frameworks & Strategy,mmm-attribution,,high,success
resource-solvermax-python-or-library-comparison,SolverMax: Python OR Library Comparison,Operations Research,linear-programming,convex-optimization,high,success
resource-spotify-new-experimentation-platform-part-1,Spotify: New Experimentation Platform (Part 1),A/B Testing,ab-testing-foundations,,high,success
resource-anthropic-prompt-engineering-documentation,Anthropic Prompt Engineering Documentation,Machine Learning,llms-rag,,high,success
resource-hands-on-mathematical-optimization-with-python-mo-,Hands-On Mathematical Optimization with Python (MO-book),Linear Programming,linear-programming,,high,success
resource-jeff-jordan-a16z-marketplace-100,Jeff Jordan (a16z): Marketplace 100,Platform Economics,marketplace-design,,high,success
resource-the-effect-nick-huntington-klein,The Effect (Nick Huntington-Klein),Causal Inference,mixtape-resources,,high,success
resource-real-python-data-structures,Real Python: Data Structures,Programming,dsa-interviews,,high,success
resource-platform-papers-joost-rietveld,Platform Papers (Joost Rietveld),Platform Economics,network-effects,marketplace-design,high,success
resource-gymnasium-documentation,Gymnasium Documentation,Machine Learning,ml-for-economists,,high,success
resource-usf-data-structure-visualizations,USF Data Structure Visualizations,Programming,dsa-interviews,,high,success
resource-stripe-how-we-built-radar,Stripe: How We Built Radar,Case Studies,tech-company-blogs,,high,success
resource-jeffrey-kantor-pyomo-cookbook,Jeffrey Kantor: Pyomo Cookbook,Linear Programming,linear-programming,,high,success
resource-great-learning-insurance-analytics-course,Great Learning Insurance Analytics Course,Insurance & Actuarial,insurance-actuarial,fraud-detection,high,success
resource-jean-tirole-two-sided-markets-a-progress-report,Jean Tirole: Two-Sided Markets - A Progress Report,Platform Economics,network-effects,marketplace-design,high,success
resource-yanir-seroussi-curated-causal-inference-resources,Yanir Seroussi: Curated Causal Inference Resources,Causal Inference,mixtape-resources,,high,success
resource-tim-roughgardens-cs364a-mechanism-design,Tim Roughgarden's CS364A: Mechanism Design,Auction Theory,auction-theory,,high,success
resource-adam-kelleher-causal-data-science-medium-series,Adam Kelleher: Causal Data Science Medium Series,Causal Inference,dags-causal-graphs,,high,success
resource-meta-andromeda-next-gen-personalized-ads-retrieval,Meta: Andromeda - Next-Gen Personalized Ads Retrieval,Advertising & Attention,auction-theory,,high,success
resource-measuring-product-health-sequoia,Measuring Product Health (Sequoia),Growth & Retention,product-metrics,,high,success
resource-andrei-hagiu-strategic-decisions-for-multisided-pl,Andrei Hagiu: Strategic Decisions for Multisided Platforms,Platform Economics,network-effects,marketplace-design,high,success
resource-instacart-tech-blog,Instacart Tech Blog,Marketplace Economics,marketplace-design,,high,success
resource-haus-blog-synthetic-control-geo-experimentation,Haus Blog: Synthetic Control & Geo-Experimentation,Ads & Attribution,did-synth-control,geo-experiments,high,success
resource-mit-ocw-engineering-economics-and-regulation-of-el,"MIT OCW: Engineering, Economics and Regulation of Electric Power",Energy & Utilities Economics,energy-economics,,high,success
resource-a-quantitative-approach-to-product-market-fit-trib,A Quantitative Approach to Product-Market Fit (Tribe Capital),Growth & Retention,clv-retention,product-metrics,high,success
resource-remerge-findings-incrementality-testing-approaches,Remerge Findings: Incrementality Testing Approaches,Ads & Attribution,geo-experiments,ad-attribution,high,success
resource-microsoft-exp-deep-dive-into-variance-reduction,Microsoft ExP: Deep Dive into Variance Reduction,A/B Testing,variance-reduction,,high,success
resource-csis-strategic-technologies-program,CSIS Strategic Technologies Program,Computational Economics,tech-strategy,,high,success
resource-ieee-cis-fraud-1st-place-solution-chris-deotte,IEEE-CIS Fraud: 1st Place Solution (Chris Deotte),Trust & Safety,fraud-detection,,high,success
resource-kevin-simler-ads-dont-work-that-way,Kevin Simler: Ads Don't Work That Way,Marketing Science,mmm-attribution,,high,success
resource-the-power-user-curve-a16z,The Power User Curve (a16z),Growth & Retention,clv-retention,,high,success
resource-nick-huntington-klein-animated-causal-graphs,Nick Huntington-Klein: Animated Causal Graphs,Causal Inference,dags-causal-graphs,,high,success
resource-adjust-blog-mobile-attribution-privacy,Adjust Blog: Mobile Attribution & Privacy,Ads & Attribution,ad-attribution,,high,success
resource-airbnb-measuring-listing-lifetime-value,Airbnb: Measuring Listing Lifetime Value,Platform Economics,clv-retention,marketplace-design,high,success
resource-ultimate-guide-activation-aakash-gupta,Ultimate Guide: Activation (Aakash Gupta),Growth & Retention,clv-retention,product-metrics,high,success
resource-easley-kleinberg-sponsored-search-markets,Easley & Kleinberg: Sponsored Search Markets,Auction Theory,auction-theory,,high,success
resource-airbnb-experiments-at-airbnb,Airbnb: Experiments at Airbnb,A/B Testing,ab-testing-foundations,,high,success
resource-the-generalist-mario-gabriele,The Generalist (Mario Gabriele),Tech Strategy,tech-strategy,,high,success
resource-eugene-wei-status-as-a-service-staas,Eugene Wei: Status as a Service (StaaS),Platform Economics,network-effects,,high,success
resource-lyft-quantifying-efficiency-in-ridesharing,Lyft: Quantifying Efficiency in Ridesharing,Marketplace Economics,marketplace-design,transportation-econ,high,success
resource-googles-causalimpact-blog-post,Google's CausalImpact Blog Post,Synthetic Control,did-synth-control,,high,success
resource-eugene-yan-bandits-for-recommender-systems,Eugene Yan: Bandits for Recommender Systems,Bandits & Adaptive,sequential-bandits,recsys,high,success
resource-growthbooks-experimentation-fundamentals,GrowthBook's Experimentation Fundamentals,A/B Testing,ab-testing-foundations,,high,success
resource-mit-15s08-fintech-gary-gensler,MIT 15.S08 FinTech (Gary Gensler),Case Studies,quant-finance,,high,success
resource-linkedin-detecting-interference-an-ab-test-of-ab-t,LinkedIn: Detecting Interference - An A/B Test of A/B Tests,A/B Testing,switchback-interference,,high,success
resource-franco-peschiera-pulp-maintainer,Franco Peschiera: PuLP Maintainer,Operations Research,linear-programming,,high,success
resource-awesome-optimization,awesome-optimization,Operations Research,convex-optimization,,high,success
resource-the-cold-start-problem-andrew-chen,The Cold Start Problem (Andrew Chen),Marketplace Economics,marketplace-design,network-effects,high,success
resource-netflix-page-simulator-for-better-offline-metrics,Netflix: Page Simulator for Better Offline Metrics,A/B Testing,ab-testing-foundations,,high,success
resource-pulp-official-documentation,PuLP Official Documentation,Linear Programming,linear-programming,,high,success
resource-etsy-personalized-recommendations,Etsy: Personalized Recommendations,Platform Economics,recsys,marketplace-design,high,success
resource-netflix-technology-blog-recommendation-systems,Netflix Technology Blog: Recommendation Systems,Recommender Systems,recsys,,high,success
resource-spotify-rd,Spotify R&D,Frameworks & Strategy,recsys,,high,success
resource-netflix-return-aware-experimentation,Netflix: Return-Aware Experimentation,A/B Testing,ab-testing-foundations,,high,success
resource-coding-for-practitioners,Coding for practitioners,Programming,python-economists,,high,success
resource-spotify-encouragement-designs-and-instrumental-var,Spotify: Encouragement Designs and Instrumental Variables for A/B Testing,Causal Inference,rdd-iv,,high,success
resource-rochet-tirole-platform-competition-in-two-sided-ma,Rochet & Tirole: Platform Competition in Two-Sided Markets,Platform Economics,network-effects,marketplace-design,high,success
resource-appsflyer-privacy-sandbox-hub,AppsFlyer Privacy Sandbox Hub,Ads & Attribution,ad-attribution,,high,success
resource-imf-cross-validation-for-economists,IMF: Cross-Validation for Economists,Causal Inference,ml-for-economists,,high,success
resource-doordash-next-generation-dasher-dispatch-optimizat,DoorDash: Next-Generation Dasher Dispatch Optimization,Linear Programming,linear-programming,vehicle-routing,high,success
resource-interpreting-acf-and-pacf-plots,Interpreting ACF and PACF Plots,Classical Methods,classical-forecasting,,high,success
resource-deeplearningai-short-courses,DeepLearning.AI Short Courses,LLMs & Agents,llms-rag,,high,success
resource-platform-revolution-book-overview,Platform Revolution Book Overview,Platform Economics,network-effects,marketplace-design,high,success
resource-amplitude-product-lessons-with-shreyas-doshi,Amplitude: Product Lessons with Shreyas Doshi,Frameworks & Strategy,product-metrics,,high,success
resource-richard-oberdieck-modern-or-software-engineering,Richard Oberdieck: Modern OR Software Engineering,Operations Research,linear-programming,ml-for-economists,high,success
resource-mesa-documentation-tutorials,Mesa Documentation Tutorials,Computational Economics,agent-based-modeling,,high,success
resource-atlassian-how-to-write-product-requirements,Atlassian: How to Write Product Requirements,Metrics & Measurement,product-metrics,,high,success
resource-instacart-delivering-optimal-shopping-experiences-,Instacart: Delivering Optimal Shopping Experiences (Gurobi),Linear Programming,linear-programming,,high,success
resource-lyft-challenges-in-experimentation,Lyft: Challenges in Experimentation,A/B Testing,transportation-econ,variance-reduction,high,success
resource-etsy-building-marketplace-search-and-personalizati,Etsy: Building Marketplace Search and Personalization,Platform Economics,marketplace-design,search-ranking,high,success
resource-uber-engineering-causal-inference-at-uber,Uber Engineering: Causal Inference at Uber,Machine Learning,pricing-revenue,rdd-iv,high,success
resource-stitch-fix-multi-armed-bandits-experimentation-pla,Stitch Fix: Multi-Armed Bandits Experimentation Platform,Bandits & Adaptive,sequential-bandits,,high,success
resource-timefold-blog,Timefold Blog,Operations Research,linear-programming,none,high,success
resource-laura-albert-punk-rock-operations-research,Laura Albert: Punk Rock Operations Research,Operations Research,vehicle-routing,,high,success
resource-discrete-optimization-coursera,Discrete Optimization (Coursera),Linear Programming,linear-programming,,high,success
resource-erwin-kalvelagen-yet-another-math-programming-cons,Erwin Kalvelagen: Yet Another Math Programming Consultant,Operations Research,linear-programming,,high,success
resource-stratechery-aggregation-theory,Stratechery Aggregation Theory,Platform Economics,network-effects,,high,success
resource-meta-how-meta-tests-products-with-strong-network-e,Meta: How Meta Tests Products with Strong Network Effects,A/B Testing,switchback-interference,network-effects,high,success
resource-jay-alammars-illustrated-transformer,Jay Alammar's Illustrated Transformer,Deep Learning,llms-rag,,high,success
resource-linkedin-economic-graph-to-economic-insights,LinkedIn: Economic Graph to Economic Insights,Platform Economics,network-effects,,high,success
resource-egap-learning-days-field-experiments,EGAP Learning Days: Field Experiments,Causal Inference,ab-testing-foundations,,high,success
resource-mixtape-sessions-github-repository,Mixtape Sessions GitHub Repository,Difference-in-Differences,did-synth-control,,high,success
resource-a16z-measuring-network-effects,a16z: Measuring Network Effects,Platform Economics,network-effects,,high,success
resource-wayfair-geo-experiments-for-incrementality,Wayfair: Geo Experiments for Incrementality,Interference & Switchback,geo-experiments,,high,success
resource-michael-trick-operations-research-blog,Michael Trick: Operations Research Blog,Operations Research,sports-analytics,,high,success
resource-doordash-real-time-optimization-of-delivery-operat,DoorDash: Real-Time Optimization of Delivery Operations,Platform Economics,network-effects,marketplace-design,high,success
resource-nfx-network-effects-bible,NFX Network Effects Bible,Platform Economics,network-effects,,high,success
resource-rand-research-archive,RAND Research Archive,Computational Economics,agent-based-modeling,,medium,success
resource-nfx-network-effects-masterclass,NFX Network Effects Masterclass,Platform Economics,network-effects,,high,success
resource-teresa-torres-opportunity-solution-trees,Teresa Torres: Opportunity Solution Trees,Frameworks & Strategy,product-metrics,,high,success
resource-parker-van-alstyne-choudary-pipelines-platforms-an,"Parker, Van Alstyne & Choudary: Pipelines, Platforms, and the New Rules of Strategy",Platform Economics,network-effects,marketplace-design,high,success
resource-doordash-switchback-tests-under-network-effects,DoorDash: Switchback Tests Under Network Effects,Interference & Switchback,switchback-interference,network-effects,high,success
resource-freecodecamp-algorithms-course,freeCodeCamp: Algorithms Course,Programming,dsa-interviews,,high,success
resource-mode-sql-tutorial,Mode SQL Tutorial,Programming,sql-tutorials,,high,success
resource-abdul-bari-youtube,Abdul Bari (YouTube),Programming,dsa-interviews,,high,success
resource-interpretable-machine-learning-book-christoph-moln,Interpretable Machine Learning Book (Christoph Molnar),Causal Inference,ml-for-economists,,high,success
resource-linkedin-engineering-marketplace-optimization,LinkedIn Engineering: Marketplace Optimization,Platform Economics,marketplace-design,network-effects,high,success
resource-150-successful-ml-models-at-bookingcom-kdd-2019,150 Successful ML Models at Booking.com (KDD 2019),Case Studies,ab-testing-foundations,,high,success
resource-apoorva-lal-applied-econometrics-notes,Apoorva Lal: Applied Econometrics Notes,Causal Inference,mixtape-resources,,high,success
resource-lumen-research-attention-metrics,Lumen Research: Attention Metrics,Ads & Attribution,ad-attribution,,high,success
resource-doordash-the-dasher-dispatch-system,DoorDash: The Dasher Dispatch System,Platform Economics,vehicle-routing,marketplace-design,high,success
resource-tensorflow-time-series-forecasting-tutorial,TensorFlow Time Series Forecasting Tutorial,Deep Learning,forecasting-dl,,high,success
resource-eugene-wei-seeing-like-an-algorithm-tiktok,Eugene Wei: Seeing Like an Algorithm (TikTok),Platform Economics,network-effects,marketplace-design,high,success
resource-instacart-building-for-balance-sage-v2,Instacart: Building for Balance (SAGE v2),Platform Economics,marketplace-design,network-effects,high,success
resource-bill-gurley-all-markets-are-not-created-equal,Bill Gurley: All Markets Are Not Created Equal,Platform Economics,marketplace-design,,high,success
resource-econtalk-susan-athey-on-ml-big-data-and-causation,"EconTalk: Susan Athey on ML, Big Data, and Causation",Causal Inference,ml-for-economists,,high,success
resource-doubledebiased-machine-learning-guide,Double/Debiased Machine Learning Guide,Causal Inference,mixtape-resources,,high,success
resource-sangeet-choudary-platform-scale-blog,Sangeet Choudary: Platform Scale Blog,Platform Economics,network-effects,marketplace-design,high,success
resource-scipy-lecture-notes-mathematical-optimization,SciPy Lecture Notes: Mathematical Optimization,Convex Optimization,convex-optimization,,high,success
resource-m5-competition-analysis-learnings-and-winning-solu,M5 Competition Analysis: Learnings and Winning Solutions,Machine Learning,forecasting-dl,,high,success
resource-linkedin-ab-testing-variant-assignment-at-scale,LinkedIn: A/B Testing Variant Assignment at Scale,A/B Testing,ab-testing-foundations,,high,success
resource-bill-gurley-a-rake-too-far,Bill Gurley: A Rake Too Far,Platform Economics,marketplace-design,pricing-revenue,high,success
resource-made-with-ml,Made With ML,Machine Learning,ml-for-economists,,high,success
resource-eugene-yan-system-design-for-recommendations,Eugene Yan: System Design for Recommendations,Recommender Systems,recsys,,high,success
resource-uber-engineering,Uber Engineering,Marketplace Economics,marketplace-design,network-effects,high,success
resource-koen-pauwels-marketing-and-metrics,Koen Pauwels: Marketing and Metrics,Marketing Science,tech-strategy,,high,success
resource-li-jin-the-creator-economy-needs-a-middle-class-hb,Li Jin: The Creator Economy Needs a Middle Class (HBR),Platform Economics,marketplace-design,,high,success
resource-lyft-solving-dispatch-in-a-ridesharing-problem-spa,Lyft: Solving Dispatch in a Ridesharing Problem Space,Platform Economics,transportation-econ,vehicle-routing,high,success
resource-datalemur,DataLemur,Programming,dsa-interviews,,high,success
resource-dairai-prompt-engineering-guide,DAIR.AI Prompt Engineering Guide,Machine Learning,llms-rag,,high,success
resource-introduction-to-agent-based-modeling,Introduction to Agent-Based Modeling,Computational Economics,agent-based-modeling,,high,success
resource-byron-sharp-how-brands-grow,Byron Sharp: How Brands Grow,Marketing Science,mmm-attribution,,high,success
resource-anthropics-prompt-engineering-tutorial,Anthropic's Prompt Engineering Tutorial,LLMs & Agents,llms-rag,,high,success
resource-coding-for-economists-nlp-chapter,Coding for Economists: NLP Chapter,Machine Learning,ml-for-economists,,high,success
resource-scikit-learn-outlier-detection,scikit-learn: Outlier Detection,Trust & Safety,fraud-detection,,high,success
resource-netflix-decision-making-at-netflix,Netflix: Decision Making at Netflix,A/B Testing,pricing-revenue,,high,success
resource-hagiu-rothman-network-effects-arent-enough-hbr,Hagiu & Rothman: Network Effects Aren't Enough (HBR),Platform Economics,network-effects,marketplace-design,high,success
resource-andrej-karpathys-neural-networks-zero-to-hero,Andrej Karpathy's Neural Networks: Zero to Hero,Deep Learning,llms-rag,,high,success
resource-eugene-wei-invisible-asymptotes,Eugene Wei: Invisible Asymptotes,Platform Economics,network-effects,marketplace-design,high,success
resource-mit-6262-discrete-stochastic-processes,MIT 6.262 Discrete Stochastic Processes,Operations Research,queueing-theory,,high,success
resource-tim-roughgardens-cs364a-kidney-exchange,Tim Roughgarden's CS364A: Kidney Exchange,Market Design & Matching,marketplace-design,,high,success
resource-genai-for-econ-substack,GenAI for Econ Substack,Machine Learning,ml-for-economists,econ-blogs,high,success
resource-bill-gurley-going-direct,Bill Gurley: Going Direct,Platform Economics,network-effects,marketplace-design,high,success
resource-matteo-courthouds-meta-learners-tutorial,Matteo Courthoud's Meta-Learners Tutorial,Causal Inference,causal-libraries,,high,success
resource-asjad-naqvis-did-repository,Asjad Naqvi's DiD Repository,Difference-in-Differences,did-synth-control,,high,success
resource-kdd-2021-tutorial-causal-inference-with-econml-and,KDD 2021 Tutorial: Causal Inference with EconML and CausalML,Causal Inference,causal-libraries,,high,success
resource-edx-queuing-theory-from-markov-chains-to-multi-ser,edX Queuing Theory: from Markov Chains to Multi-Server Systems,Operations Research,queueing-theory,,high,success
resource-knowledge-project-#102-sendhil-mullainathan,Knowledge Project #102: Sendhil Mullainathan,Causal Inference,ml-for-economists,,high,success
resource-andrew-ngs-machine-learning-specialization,Andrew Ng's Machine Learning Specialization,Machine Learning,ml-for-economists,recsys,high,success
resource-nlp-for-economists-mgse,NLP for Economists (MGSE),Machine Learning,ml-for-economists,,high,success
resource-uber-analyzing-experiment-outcomes-beyond-average-,Uber: Analyzing Experiment Outcomes Beyond Average Treatment Effects,A/B Testing,ab-testing-foundations,,high,success
resource-linkedin-our-evolution-towards-t-rex,LinkedIn: Our Evolution Towards T-REX,A/B Testing,ab-testing-foundations,,high,success
resource-leetcode-sql-50,LeetCode SQL 50,Programming,sql-tutorials,,high,success
resource-li-jin-unbundling-work,Li Jin: Unbundling Work,Platform Economics,network-effects,marketplace-design,high,success
resource-mit-15070j-advanced-stochastic-processes,MIT 15.070J Advanced Stochastic Processes,Operations Research,queueing-theory,,high,success
resource-netflix-keeping-netflix-reliable-using-prioritized,Netflix: Keeping Netflix Reliable Using Prioritized Load Shedding,Platform Economics,network-effects,,high,success
resource-li-jin-building-for-the-creator-middle-class,Li Jin: Building for the Creator Middle Class,Platform Economics,network-effects,marketplace-design,high,success
resource-uber-unleashing-the-power-of-ads-simulation,Uber: Unleashing the Power of Ads Simulation,Platform Economics,auction-theory,marketplace-design,high,success
resource-statsig-switchback-experiments-overview,Statsig: Switchback Experiments Overview,Interference & Switchback,switchback-interference,,high,success
resource-imf-machine-learning-for-economists-course,IMF Machine Learning for Economists Course,Machine Learning,ml-for-economists,,high,success
resource-duckdb-documentation,DuckDB Documentation,Programming,sql-tutorials,,high,success
resource-netflix-predictive-cpu-isolation-of-containers,Netflix: Predictive CPU Isolation of Containers,Platform Economics,tech-company-blogs,,high,success
resource-neetcode,NeetCode,Programming,dsa-interviews,,high,success
resource-the-theory-and-practice-of-revenue-management,The Theory and Practice of Revenue Management,Pricing & Revenue,pricing-revenue,,high,success
resource-bill-gurley-in-defense-of-the-deck,Bill Gurley: In Defense of the Deck,Platform Economics,network-effects,marketplace-design,high,success
resource-georgetown-ma-in-security-studies,Georgetown MA in Security Studies,Machine Learning,ml-for-economists,,high,success
resource-cepr-voxeu-doing-economics-at-google,CEPR VoxEU: Doing Economics at Google,Platform Economics,marketplace-design,auction-theory,high,success
resource-netflix-a-survey-of-causal-inference-applications,Netflix: A Survey of Causal Inference Applications,Causal Inference,ab-testing-foundations,recsys,high,success
resource-li-jin-100-true-fans,Li Jin: 100 True Fans,Platform Economics,network-effects,marketplace-design,high,success
resource-aws-builders-library-avoiding-insurmountable-queue,AWS Builders Library: Avoiding Insurmountable Queue Backlogs,Platform Economics,queueing-theory,,high,success
resource-eppo-how-netflix-lyft-and-yahoo-use-contextual-ban,"Eppo: How Netflix, Lyft, and Yahoo Use Contextual Bandits",Bandits & Adaptive,pricing-revenue,recsys,high,success
resource-blind-75,Blind 75,Programming,dsa-interviews,,high,success
resource-intercom-on-product-management-free-book,Intercom: On Product Management (Free Book),Frameworks & Strategy,product-metrics,,high,success
resource-wharton-customer-analytics-coursera,Wharton Customer Analytics (Coursera),MarTech & Customer Analytics,clv-retention,,high,success
resource-google-research-the-tail-at-scale,Google Research: The Tail at Scale,Platform Economics,network-effects,,high,success
resource-li-jin-the-passion-economy-and-the-future-of-work,Li Jin: The Passion Economy and the Future of Work,Platform Economics,network-effects,marketplace-design,high,success
resource-quantecon-lectures,QuantEcon Lectures,Econometrics,ml-for-economists,,high,success
resource-bruce-hardies-btyd-tutorials,Bruce Hardie's BTYD Tutorials,MarTech & Customer Analytics,clv-retention,,high,success
resource-leetcode-patterns,LeetCode Patterns,Programming,dsa-interviews,,high,success
resource-uber-simulated-marketplace-with-ml,Uber: Simulated Marketplace with ML,Platform Economics,marketplace-design,agent-based-modeling,high,success
resource-first-course-in-causal-inference-python,First Course in Causal Inference (Python),Causal Inference,mixtape-resources,causal-libraries,high,success
resource-amazon-science-how-amazon-robots-navigate-congesti,Amazon Science: How Amazon Robots Navigate Congestion,Platform Economics,network-effects,marketplace-design,high,success
resource-select-star-sql,SELECT Star SQL,Programming,sql-tutorials,,high,success
resource-slacks-2000-messages-activation-metric,Slack's 2000 Messages Activation Metric,Growth & Retention,clv-retention,product-metrics,high,success
resource-deep-learning-specialization-coursera,Deep Learning Specialization (Coursera),Machine Learning,ml-for-economists,,high,success
resource-stripe-scaling-your-api-with-rate-limiters,Stripe: Scaling Your API with Rate Limiters,Platform Economics,network-effects,,high,success
resource-r-causal-book-dag-construction-chapter,R-causal Book: DAG Construction Chapter,Causal Inference,dags-causal-graphs,,high,success
resource-stanford-fintech-sendhil-mullainathan-on-ml-as-too,Stanford Fintech: Sendhil Mullainathan on ML as Tool for Science,Causal Inference,ml-for-economists,,high,success
resource-8-week-sql-challenge-danny-ma,8 Week SQL Challenge (Danny Ma),Programming,sql-tutorials,,high,success
resource-susan-atheys-stanford-gsb-courses,Susan Athey's Stanford GSB Courses,Machine Learning,ml-for-economists,,high,success
resource-andrew-heisss-dag-and-backdoor-tutorials,Andrew Heiss's DAG and Backdoor Tutorials,Machine Learning,dags-causal-graphs,,high,success
resource-quantecon-datascience,QuantEcon DataScience,Causal Inference,ml-for-economists,,high,success
resource-shopify-capacity-planning-at-scale,Shopify: Capacity Planning at Scale,Platform Economics,queueing-theory,,high,success
resource-sipri-databases-and-research,SIPRI Databases and Research,Computational Economics,agent-based-modeling,,medium,success
resource-chronos-bolt-fast-zero-shot-forecasting-aws,Chronos-Bolt: Fast Zero-Shot Forecasting (AWS),Deep Learning,forecasting-dl,,high,success
resource-python-for-econometrics,Python for Econometrics,Programming,python-economists,,high,success
resource-mit-ocw-engineering-economics-and-regulation-of-th,"MIT OCW: Engineering, Economics, and Regulation of the Electric Power Sector",Machine Learning,energy-economics,,high,success
resource-pywhy-causal-discovery-example,PyWhy: Causal Discovery Example,Causal Inference,dags-causal-graphs,causal-libraries,high,success
resource-erlang-a-calculator,Erlang A Calculator,Operations Research,queueing-theory,,high,success
resource-google-or-tools-python-guide,Google OR-Tools Python Guide,Linear Programming,linear-programming,,high,success
resource-guide-to-product-metrics,Guide to Product Metrics,Growth & Retention,product-metrics,,high,success
resource-real-python-web-scraping,Real Python: Web Scraping,Programming,none,,low,success
resource-wharton-customer-analytics-initiative-wcai,Wharton Customer Analytics Initiative (WCAI),MarTech & Customer Analytics,clv-retention,,high,success
resource-microsoft-research-adversarial-ml-and-instrumental,Microsoft Research: Adversarial ML and Instrumental Variables,Causal Inference,rdd-iv,,high,success
resource-scrapy-documentation,Scrapy Documentation,Programming,none,,low,success
resource-kendall-notation-tutorial,Kendall Notation Tutorial,Operations Research,queueing-theory,,high,success
resource-mit-6046j-lecture-15-linear-programming,MIT 6.046J Lecture 15: Linear Programming,Linear Programming,linear-programming,,high,success
resource-aea-continuing-education-ml-and-econometrics-2018,AEA Continuing Education: ML and Econometrics (2018),Machine Learning,ml-for-economists,,high,success
resource-doordash-leveraging-causal-inference-for-forecasts,DoorDash: Leveraging Causal Inference for Forecasts,Causal Inference,forecasting-dl,,high,success
resource-causal-econometrics-course,Causal Econometrics Course,Causal Inference,mixtape-resources,,high,success
resource-3blue1brown-neural-network-series,3Blue1Brown Neural Network Series,Deep Learning,llms-rag,,high,success
resource-mstl-multi-seasonal-decomposition-in-python,MSTL Multi-Seasonal Decomposition in Python,Classical Methods,classical-forecasting,,high,success
resource-kingmans-formula-tutorial,Kingman's Formula Tutorial,Operations Research,queueing-theory,,high,success
resource-gilp-geometric-interpretation-of-linear-programs-c,GILP: Geometric Interpretation of Linear Programs (Cornell),Linear Programming,linear-programming,,high,success
resource-google-research-causalimpact-paper,Google Research: CausalImpact Paper,Causal Inference,mixtape-resources,,high,success
resource-nfx-network-effects-manual-16-types,NFX Network Effects Manual: 16 Types,Platform Economics,network-effects,,high,success
resource-marketing-science-institute-msi,Marketing Science Institute (MSI),MarTech & Customer Analytics,clv-retention,mmm-attribution,high,success
resource-littles-law-50th-anniversary-paper,Little's Law 50th Anniversary Paper,Operations Research,queueing-theory,,high,success
resource-doordash-statistical-analysis-for-switchback-exper,DoorDash: Statistical Analysis for Switchback Experiments,Interference & Switchback,switchback-interference,,high,success
resource-kevin-leyton-browns-vcg-mechanism-lectures,Kevin Leyton-Brown's VCG Mechanism Lectures,Auction Theory,auction-theory,,high,success
resource-airbnb-listing-embeddings-for-similar-listing-reco,Airbnb: Listing Embeddings for Similar Listing Recommendations,Machine Learning,recsys,,high,success
resource-google-notebooklm,Google NotebookLM,LLMs & Agents,llms-rag,,high,success
